group,latency_ms
valid,0.057600
valid,0.059100
valid,0.055500
valid,0.055300
valid,0.058200
valid,0.060100
valid,0.059000
valid,0.059300
valid,0.056600
valid,0.059000
valid,0.057900
valid,0.055600
valid,0.055700
valid,0.055300
valid,0.054200
valid,0.059200
valid,0.055700
valid,0.058100
valid,0.057700
valid,0.055000
valid,0.063700
valid,0.059000
valid,0.059000
valid,0.059500
valid,0.057000
valid,0.059000
valid,0.055800
valid,0.055700
valid,0.055700
valid,0.059800
valid,0.055100
valid,0.054800
valid,0.057400
valid,0.058500
valid,0.056800
valid,0.058900
valid,0.056100
valid,0.058100
valid,0.056000
valid,0.059500
valid,0.056000
valid,0.054200
valid,0.055600
valid,0.215600
valid,0.215200
valid,0.087800
valid,0.137700
valid,0.072600
valid,0.076600
valid,0.071300
valid,0.058100
valid,0.061200
valid,0.057100
valid,0.061000
valid,0.058600
valid,0.059600
valid,0.055500
valid,0.055000
valid,0.055400
valid,0.060400
valid,0.059900
valid,0.058600
valid,0.059900
valid,0.056600
valid,0.061700
valid,0.055600
valid,0.058700
valid,0.056600
valid,0.059300
valid,0.058500
valid,0.055400
valid,0.059500
valid,0.060100
valid,0.057300
valid,0.054800
valid,0.055200
valid,0.054900
valid,0.055300
valid,0.058600
valid,0.057500
valid,0.055500
valid,0.059300
valid,0.055200
valid,0.057900
valid,0.060800
valid,0.057700
valid,0.060300
valid,0.056700
valid,0.057600
valid,0.055600
valid,0.056000
valid,0.054600
valid,0.055500
valid,0.054900
valid,0.058100
valid,0.055700
valid,0.058800
valid,0.055800
valid,0.056400
valid,0.061400
valid,0.056100
valid,0.054600
valid,0.059000
valid,0.056100
valid,0.058000
valid,0.058400
valid,0.058500
valid,0.062300
valid,0.060700
valid,0.056000
valid,0.055600
valid,0.056300
valid,0.058200
valid,0.058900
valid,0.059200
valid,0.056600
valid,0.055600
valid,0.058200
valid,0.058500
valid,0.058900
valid,0.056100
valid,0.055600
valid,0.055100
valid,0.056900
valid,0.058400
valid,0.055800
valid,0.056500
valid,0.055500
valid,0.056600
valid,0.054600
valid,0.055300
valid,0.059200
valid,0.056300
valid,0.061000
valid,0.058500
valid,0.059400
valid,0.060700
valid,0.058500
valid,0.059000
valid,0.055800
valid,0.058300
valid,0.057300
valid,0.056100
valid,0.057800
valid,0.054500
valid,0.055100
valid,0.058900
valid,0.056200
valid,0.061200
valid,0.056000
valid,0.059200
valid,0.056800
valid,0.055600
valid,0.057600
valid,0.056000
valid,0.057900
valid,0.055800
valid,0.060200
valid,0.058800
valid,0.055600
valid,0.060000
valid,0.056300
valid,0.055900
valid,0.056800
valid,0.127100
valid,0.088100
valid,0.062200
valid,0.060000
valid,0.256300
valid,0.148200
valid,0.139900
valid,0.086600
valid,0.063000
valid,0.064000
valid,0.056700
valid,0.059800
valid,0.060200
valid,0.060100
valid,0.059100
valid,0.059000
valid,0.056100
valid,0.055700
valid,0.056400
valid,0.058400
valid,0.055200
valid,0.055200
valid,0.055900
valid,0.059900
valid,0.059900
valid,0.059000
valid,0.055400
valid,0.055900
valid,0.055600
valid,0.060200
valid,0.062600
valid,0.056400
valid,0.055500
valid,0.055400
valid,0.056500
valid,0.054300
valid,0.058800
valid,0.056100
valid,0.056100
valid,0.056900
valid,0.056300
valid,0.060200
valid,0.056300
valid,0.055700
valid,0.057300
valid,0.055500
valid,0.055000
valid,0.054800
valid,0.054100
valid,0.060400
valid,0.056200
valid,0.056300
valid,0.054900
valid,0.056400
valid,0.056300
valid,0.058900
valid,0.058900
valid,0.055700
valid,0.055300
valid,0.061500
valid,0.054600
valid,0.055900
valid,0.055500
valid,0.058700
valid,0.059800
valid,0.059900
valid,0.059000
valid,0.055700
valid,0.054800
valid,0.060300
valid,0.055700
valid,0.057700
valid,0.055400
valid,0.055600
valid,0.059900
valid,0.057500
valid,0.059300
valid,0.059900
valid,0.059000
valid,0.059000
valid,0.056000
valid,0.058600
valid,0.058700
valid,0.059400
valid,0.056200
valid,0.055400
valid,0.055600
valid,0.060300
valid,0.062000
valid,0.056300
valid,0.061900
valid,0.094500
valid,0.120300
valid,0.122700
valid,0.066200
valid,0.062700
valid,0.061700
valid,0.059600
valid,0.061200
valid,0.056200
valid,0.060700
valid,0.059200
valid,0.059800
valid,0.058100
valid,0.059300
valid,0.060200
valid,0.056600
valid,0.055200
valid,0.062100
valid,0.059400
valid,0.056300
valid,0.056300
valid,0.059500
valid,0.057300
valid,0.059600
valid,0.058600
valid,0.059700
valid,0.063700
valid,0.059000
valid,0.055900
valid,0.055200
valid,0.056800
valid,0.188700
valid,0.247400
valid,0.144200
valid,0.146000
valid,0.085200
valid,0.098900
valid,0.061800
valid,0.057700
valid,0.056600
valid,0.057100
valid,0.055800
valid,0.057600
valid,0.060400
valid,0.059600
valid,0.059900
valid,0.058900
valid,0.061200
valid,0.059300
valid,0.057000
valid,0.059300
valid,0.061200
valid,0.059800
valid,0.059000
valid,0.057000
valid,0.060400
valid,0.057900
valid,0.058300
valid,0.057300
valid,0.055000
valid,0.055700
valid,0.056600
valid,0.058400
valid,0.060700
valid,0.055700
valid,0.056200
valid,0.057200
valid,0.055500
valid,0.056300
valid,0.055100
valid,0.058600
valid,0.057500
valid,0.056100
valid,0.055000
valid,0.055000
valid,0.054700
valid,0.060500
valid,0.056300
valid,0.055800
valid,0.055500
valid,0.059100
valid,0.057900
valid,0.055600
valid,0.055900
valid,0.058200
valid,0.058200
valid,0.059800
valid,0.055800
valid,0.055000
valid,0.059200
valid,0.058500
valid,0.059900
valid,0.055700
valid,0.056400
valid,0.058400
valid,0.055300
valid,0.059800
valid,0.056400
valid,0.059400
valid,0.056100
valid,0.056400
valid,0.056900
valid,0.055900
valid,0.058000
valid,0.055100
valid,0.054300
valid,0.057900
valid,0.054400
valid,0.055000
valid,0.055300
valid,0.055100
valid,0.057500
valid,0.054900
valid,0.058600
valid,0.059600
valid,0.056800
valid,0.056700
valid,0.055200
valid,0.054200
valid,0.058500
valid,0.056400
valid,0.059900
valid,0.055200
valid,0.062600
valid,0.059100
valid,0.057100
valid,0.057600
valid,0.058500
valid,0.057900
valid,0.057300
valid,0.056000
valid,0.056200
valid,0.055600
valid,0.057800
valid,0.059300
valid,0.056100
valid,0.060300
valid,0.059400
valid,0.057500
valid,0.056600
valid,0.055400
valid,0.060400
valid,0.058900
valid,0.058800
valid,0.058900
valid,0.056300
valid,0.060100
valid,0.058800
valid,0.056400
valid,0.056200
valid,0.060100
valid,0.056700
valid,0.055400
valid,0.159400
valid,0.089400
valid,0.064900
valid,0.063800
valid,0.152300
valid,0.152600
valid,0.126900
valid,0.115100
valid,0.088400
valid,0.063700
valid,0.058600
valid,0.060700
valid,0.056800
valid,0.060200
valid,0.061200
valid,0.056800
valid,0.056200
valid,0.056700
valid,0.061100
valid,0.058200
valid,0.059500
valid,0.056700
valid,0.056700
valid,0.057900
valid,0.055800
valid,0.055300
valid,0.059100
valid,0.056200
valid,0.060400
valid,0.056400
valid,0.061300
valid,0.055900
valid,0.055200
valid,0.057600
valid,0.055900
valid,0.055600
valid,0.055500
valid,0.054400
valid,0.060600
valid,0.055900
valid,0.058000
valid,0.056800
valid,0.055500
valid,0.056500
valid,0.057600
valid,0.056700
valid,0.056000
valid,0.059500
valid,0.061200
valid,0.059200
valid,0.057200
valid,0.056500
valid,0.055300
valid,0.056100
valid,0.059900
valid,0.056300
valid,0.059100
valid,0.058600
valid,0.058000
valid,0.056700
valid,0.055200
valid,0.057200
valid,0.055600
valid,0.057000
valid,0.059900
valid,0.058400
valid,0.059900
valid,0.060800
valid,0.059900
valid,0.059200
valid,0.056800
valid,0.060100
valid,0.060200
valid,0.059100
valid,0.060400
valid,0.059800
valid,0.059500
valid,0.061600
valid,0.059500
valid,0.057100
valid,0.055600
valid,0.061400
valid,0.056700
valid,0.055700
valid,0.054900
valid,0.055700
valid,0.054200
valid,0.056700
valid,0.055200
valid,0.056100
valid,0.059400
valid,0.056500
valid,0.057200
valid,0.055200
valid,0.058300
valid,0.058200
valid,0.060700
valid,0.060500
valid,0.055800
valid,0.055300
valid,0.059200
valid,0.058700
valid,0.055900
valid,0.058700
valid,0.056100
valid,0.063400
valid,0.057200
valid,0.054600
valid,0.054100
valid,0.055100
valid,0.055800
valid,0.055300
valid,0.059800
valid,0.056700
valid,0.056500
valid,0.059700
valid,0.057400
valid,0.054800
valid,0.059200
valid,0.056600
valid,0.058300
valid,0.061100
valid,0.055000
valid,0.253300
valid,0.077300
valid,0.061900
valid,0.080400
valid,0.084800
valid,0.064000
valid,0.057800
valid,0.211600
valid,0.246500
valid,0.108400
valid,0.314000
valid,0.073400
valid,0.059900
valid,0.062400
valid,0.067500
valid,0.058200
